Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2016-04-20,1019.0,1014.0,1021.0,985.0,994.75,24.25,0.024377984418195525,1.2185351270553055,36.0,1.0365482233502539,0.03618999748680573,979.45,940.1833333333333,920.5583333333333,984.9695476302217,83.80555034128636,94.09442676819758,89.61100221004516,103.06127588450241,5.194338916228762,83.85622721772512,21.94000000000001
2016-04-19,994.75,989.75,996.0,961.75,963.0,31.75,0.03296988577362409,1.1895366218236165,34.25,1.0356121653236288,0.03556593977154725,968.55,932.85,916.075,967.9543214453324,66.16189945294443,91.98909777941499,87.36928993096895,101.22871347630709,4.113574111155592,80.44420637576299,10.479999999999972
2016-04-18,963.0,962.0,972.75,957.75,964.25,-1.25,-0.0012963443090484833,1.1515695067264566,15.0,1.0156617071260767,0.0155561317085818,956.85,927.6,912.3083333333333,954.5564821679985,52.28759810158652,88.65568967987518,85.05938600674592,95.84829702613368,2.799625147108609,73.68161433606241,8.479999999999995
2016-04-15,964.25,964.0,966.5,954.5,956.25,8.0,0.008366013071895426,1.1530642750373683,12.0,1.0125720272393923,0.012549019607843137,949.9,924.0,909.4916666666667,950.3347232519976,52.29337215975001,89.77795960692077,83.26123417018131,102.8114104803997,2.9408916250424886,74.6250317150191,14.120000000000005
2016-04-14,956.25,952.75,968.0,953.75,964.5,-8.25,-0.008553654743390357,1.1434977578475327,14.25,1.0149410222804718,0.014774494556765163,940.4,920.4166666666666,906.1416666666667,943.3770848779963,47.58810808153844,87.46544687306773,80.00287145181159,102.39059771558004,2.6410205875563917,72.53517314849536,15.979999999999995
2016-04-13,964.5,955.25,957.75,937.25,936.25,28.25,0.030173564753004006,1.1533632286995505,20.5,1.0218724993331556,0.021895861148197596,930.05,917.0166666666667,902.9833333333333,936.9406273169943,43.126396395909666,89.96682702601952,76.27158374118352,117.3573135956915,3.7048927351605716,78.74553031726299,16.25999999999999
2016-04-12,936.25,937.0,938.75,924.75,928.25,8.0,0.008618367896579585,1.1195814648729436,14.0,1.015139226818059,0.015082143819014274,918.75,913.4,899.4333333333333,923.1609409754914,25.38267273695827,79.00310397515263,69.42396209876551,98.16138772792686,2.424045094385237,70.79477715875285,10.8
2016-04-11,928.25,927.25,929.5,915.5,916.75,11.5,0.012544314153258795,1.110014947683108,14.0,1.0152921900600764,0.01527133896918462,912.45,911.1166666666667,896.925,916.6164114632369,17.6269495083571,71.42863257091608,64.63439116057195,85.01711539160434,2.0872356009828734,67.60856218159594,8.04000000000001
2016-04-08,916.75,916.5,917.0,903.0,904.5,12.25,0.013543394140409067,1.0962630792227195,14.0,1.0155038759689923,0.015478164731896076,909.5,909.0666666666667,894.7666666666667,910.7996171948553,10.039005175536772,59.008620498165165,61.23727045539988,54.55132058369574,1.6376550718431115,62.087537120567056,4.5
2016-04-07,904.5,904.0,909.75,903.5,908.0,-3.5,-0.003854625550660793,1.0816143497757837,6.25,1.006917542888766,0.006883259911894273,909.8,907.8,893.0583333333333,907.824425792283,6.2857669076985285,48.989121223438225,62.351595434017234,22.264172802280214,1.1929612875853033,54.39955982528482,4.8599999999999905
2016-04-06,908.0,908.25,909.75,901.0,904.75,3.25,0.003592152528322741,1.085799701046337,8.75,1.0097114317425082,0.009671179883945842,911.05,907.35,891.9833333333333,909.4866386884245,10.00052866623166,57.29320564468116,69.03283253930674,33.81395185542999,1.3525331232566367,57.492628260396636,3.859999999999991
